"ringnr","y_adjusted","n_obs","y_mean","O_HOM","E_HOM","N_SITES","F_hat","locality"
"8L89639",-1.32563307641911,1,29,42131,41800,62441,-0.0239952670424751,"27"
"8L89640",0.637755610417641,1,32.9,44705,43350,64807,0.0234147329575249,"27"
"8L89641",1.39595180112554,2,34.25,44048,43170,64544,0.00113473295752491,"26"
"8L89642",0.45652494892737,4,31.9,44440,43360,64835,0.0102147329575249,"38"
"8L89644",-0.12585826703078,2,31.8,44400,43340,64807,0.00930473295752491,"28"
"8L89645",-0.870288197116747,1,29.4,43834,43330,64778,-0.0163752670424751,"28"
"8L89646",0.062351759117281,1,32.4,43803,43220,64615,-0.0125352670424751,"28"
"8L89650",0.693451084312138,2,32.8,44294,43300,64726,0.00674473295752491,"26"
"8L89652",-0.387378763336039,1,31.3,44113,43350,64807,-0.00419526704247509,"27"
"8L89654",-3.18069874190395,4,27.625,43027,42100,62905,0.00448473295752491,"27"
"8L89655",-2.23815740067959,3,28.8333333333333,43180,42770,63962,-0.0203252670424751,"27"
"8L89663",-0.589022070136241,3,31.2666666666667,43232,42910,64167,-0.0248952670424751,"26"
"8L89664",-0.419889305824915,1,31,43422,43010,64243,-0.0204452670424751,"20"
"8L89665",-0.279029131918009,1,31.6,43909,43310,64749,-0.0120152670424751,"27"
"8L89669",0.232589324692127,1,32.7,44438,43370,64838,0.00990473295752491,"27"
"8L89682",2.43610856141104,2,35.65,43640,43100,64445,-0.0145752670424751,"28"
"8L89689",-0.249286940935664,2,31.25,44101,43060,64381,0.00883473295752491,"26"
"8L89691",-0.374947527864046,1,30.4,45558,43310,64755,0.0648347329575249,"27"
"8L89692",0.606846234629352,3,32.8333333333333,44161,43370,64842,-0.00304526704247509,"27"
"8L89704",0.421327688693896,6,32.5333333333333,43891,43250,64670,-0.0101352670424751,"26"
"8L89709",0.0242175599220704,1,31.5,44373,43020,64320,0.0237547329575249,"26"
"8L89713",0.715271975770042,2,32.85,43913,43330,64776,-0.0125452670424751,"26"
"8L89714",-0.696904360451836,1,30.1,44126,43160,64533,0.00536473295752491,"26"
"8L89718",-0.750784166542464,2,30.35,43649,42920,64170,-0.00539526704247509,"26"
"8L89720",-1.18083579564181,2,29.8,43754,43090,64431,-0.00885526704247509,"26"
"8L89722",-2.03203729518935,2,28.55,44170,43260,64673,0.00273473295752491,"26"
"8L89723",0.502228491124545,3,32.2333333333333,43731,43150,64513,-0.0126352670424751,"26"
"8L89724",2.0848047255781,2,34.7,43994,43290,64726,-0.00693526704247509,"26"
"8L89725",-0.412977896133822,3,31.3333333333333,44000,43270,64705,-0.00602526704247509,"26"
"8L89728",-0.817531181662853,3,30.6333333333333,43894,43290,64717,-0.0115152670424751,"26"
