Running from this directory: /cluster/work/simennes/Project_thesis/Project_thesis
Name of job: ind_ens_no
ID of job: 23157421
The job was run on these nodes: idun-06-06
[I 2025-10-27 23:51:55,696] Trial 53 finished with value: 0.09399524581093333 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128]', 'dropout': 0.10058798555779679, 'batch_norm': True, 'lr': 0.0009669310693132995, 'weight_decay': 6.191135568457416e-07, 'epochs': 230, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:57,614] Trial 54 finished with value: 0.08887396028011822 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 64]', 'dropout': 0.14031932587191226, 'batch_norm': True, 'lr': 0.0005527587606703943, 'weight_decay': 2.913575263949407e-07, 'epochs': 270, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:51:59,170] Trial 55 finished with value: 0.0919277420917393 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128]', 'dropout': 0.22232786075324862, 'batch_norm': True, 'lr': 0.0007821641480278236, 'weight_decay': 3.2040662388231857e-06, 'epochs': 308, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:52:00,507] Trial 56 finished with value: 0.0625680625942856 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 256]', 'dropout': 0.12663281720600975, 'batch_norm': False, 'lr': 1.0402179937920986e-06, 'weight_decay': 6.727230676626062e-05, 'epochs': 144, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:52:01,631] Trial 57 finished with value: 0.09468556488066827 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128]', 'dropout': 0.16335487852711222, 'batch_norm': True, 'lr': 0.00045148590746760427, 'weight_decay': 1.0509786512826045e-07, 'epochs': 172, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:52:03,300] Trial 58 finished with value: 0.09136012440728397 and parameters: {'model_type': 'gcn', 'hidden_dims': '[512, 64]', 'dropout': 0.3171211270545072, 'batch_norm': True, 'lr': 0.00027799088335488136, 'weight_decay': 7.185864683660772e-07, 'epochs': 215, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:52:05,231] Trial 59 finished with value: 0.08912851204736581 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128, 64]', 'dropout': 0.2859340433064664, 'batch_norm': True, 'lr': 0.0005649015978083711, 'weight_decay': 0.00026340621350875716, 'epochs': 329, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:52:06,594] Trial 60 finished with value: 0.0975614322796534 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128]', 'dropout': 0.3769979882851046, 'batch_norm': True, 'lr': 0.0009868516319447437, 'weight_decay': 1.3971246541406418e-05, 'epochs': 247, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:52:08,004] Trial 61 finished with value: 0.09442188015184835 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128]', 'dropout': 0.1513903112012994, 'batch_norm': True, 'lr': 0.0007989709787501636, 'weight_decay': 3.2763706281141296e-07, 'epochs': 262, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
[I 2025-10-27 23:52:09,463] Trial 62 finished with value: 0.10067009638457475 and parameters: {'model_type': 'gcn', 'hidden_dims': '[256, 128]', 'dropout': 0.18825723624178062, 'batch_norm': True, 'lr': 0.00037517907933777263, 'weight_decay': 4.59402633421724e-07, 'epochs': 279, 'loss': 'mse', 'optimizer': 'adam', 'graph_mode': 'off'}. Best is trial 31 with value: 0.1109233384442245.
